------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format M/d/yyyy Filter Normal -----------
Serial Number: DEMO12345678
Start Time 00:00:00
Start Date 1/1/2000
Epoch Period (hh:mm:ss) 00:01:00
Download Time 12:00:00
Download Date 1/10/2000
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 61
--------------------------------------------------
Date,Time,Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
1/1/2000,00:00:00,25,6,2,0,0,0,0,0,60,25.39
1/1/2000,00:01:00,64,23,0,0,0,0,0,0,60,67.86
1/1/2000,00:02:00,23,7,12,0,0,0,0,0,60,27.21
1/1/2000,00:03:00,40,17,19,0,0,0,0,0,60,47.32
1/1/2000,00:04:00,30,15,7,0,0,0,0,0,60,34.16
1/1/2000,00:05:00,44,7,9,0,0,0,0,0,60,45.12
1/1/2000,00:06:00,31,11,4,0,0,0,0,0,60,33.22
1/1/2000,00:07:00,23,4,6,0,0,0,0,0,60,23.83
1/1/2000,00:08:00,38,10,9,0,0,0,0,0,60,39.94
1/1/2000,00:09:00,27,6,16,0,0,0,0,0,60,31.74
1/1/2000,00:10:00,47,13,9,0,0,0,0,0,60,49.84
1/1/2000,00:11:00,23,4,6,0,0,0,0,0,60,24.41
1/1/2000,00:12:00,37,7,24,0,0,0,0,0,60,44.43
1/1/2000,00:13:00,65,18,6,0,0,0,0,0,60,68.01
1/1/2000,00:14:00,15,3,5,0,0,0,0,0,60,16.13
1/1/2000,00:15:00,35,13,0,0,0,0,0,0,60,37.01
1/1/2000,00:16:00,35,17,5,0,0,0,0,0,60,39.43
1/1/2000,00:17:00,45,8,14,0,0,0,0,0,60,47.97
1/1/2000,00:18:00,83,16,27,0,0,0,0,0,60,89.16
1/1/2000,00:19:00,23,8,0,0,0,0,0,0,60,24.91
1/1/2000,00:20:00,57,21,13,0,0,0,0,0,60,62.16
1/1/2000,00:21:00,11,2,6,0,0,0,0,0,60,13.12
1/1/2000,00:22:00,28,6,20,0,0,0,0,0,60,34.47
1/1/2000,00:23:00,17,6,7,0,0,0,0,0,60,19.53
1/1/2000,00:24:00,37,8,10,0,0,0,0,0,60,39.51
1/1/2000,00:25:00,34,8,6,0,0,0,0,0,60,35.31
1/1/2000,00:26:00,22,7,2,0,0,0,0,0,60,22.78
1/1/2000,00:27:00,42,8,14,0,0,0,0,0,60,45.22
1/1/2000,00:28:00,17,8,7,0,0,0,0,0,60,20.19
1/1/2000,00:29:00,230,73,100,0,0,0,0,0,60,261.40
1/1/2000,00:30:00,25,5,16,0,0,0,0,0,60,29.78
1/1/2000,00:31:00,10,4,3,0,0,0,0,0,60,10.95
1/1/2000,00:32:00,71,15,24,0,0,0,0,0,60,76.04
1/1/2000,00:33:00,31,12,17,0,0,0,0,0,60,37.43
1/1/2000,00:34:00,63,26,7,0,0,0,0,0,60,68.60
1/1/2000,00:35:00,52,17,9,0,0,0,0,0,60,55.78
1/1/2000,00:36:00,38,15,12,0,0,0,0,0,60,42.51
1/1/2000,00:37:00,29,8,5,0,0,0,0,0,60,30.24
1/1/2000,00:38:00,34,7,12,0,0,0,0,0,60,36.85
1/1/2000,00:39:00,26,8,10,0,0,0,0,0,60,29.08
1/1/2000,00:40:00,39,11,3,0,0,0,0,0,60,40.40
1/1/2000,00:41:00,35,18,13,0,0,0,0,0,60,41.49
1/1/2000,00:42:00,35,10,17,0,0,0,0,0,60,39.91
1/1/2000,00:43:00,74,36,18,0,0,0,0,0,60,83.86
1/1/2000,00:44:00,24,8,11,0,0,0,0,0,60,27.66
1/1/2000,00:45:00,55,17,0,0,0,0,0,0,60,57.80
1/1/2000,00:46:00,21,7,13,0,0,0,0,0,60,25.23
1/1/2000,00:47:00,21,5,4,0,0,0,0,0,60,21.60
1/1/2000,00:48:00,52,20,0,0,0,0,0,0,60,55.36
1/1/2000,00:49:00,22,7,10,0,0,0,0,0,60,25.38
1/1/2000,00:50:00,51,11,9,0,0,0,0,0,60,53.19
1/1/2000,00:51:00,11,4,6,0,0,0,0,0,60,13.42
1/1/2000,00:52:00,15,6,5,0,0,0,0,0,60,17.40
1/1/2000,00:53:00,33,8,4,0,0,0,0,0,60,34.16
1/1/2000,00:54:00,31,5,15,0,0,0,0,0,60,34.56
1/1/2000,00:55:00,58,8,7,0,0,0,0,0,60,58.83
1/1/2000,00:56:00,35,17,4,0,0,0,0,0,60,39.07
