File Name:,DEMO_Actiwatch
Actiwatch Model:,Actiwatch 2
Serial Number:,DEMO_AW_001
Start Date:,1/1/2000
Start Time:,00:00:00
Subject Name:,DEMO-001

Date,Time,Activity,Marker,White Light,Sleep/Wake
1/1/2000,00:00:00,25.39,0,0,
1/1/2000,00:01:00,67.86,0,0,
1/1/2000,00:02:00,27.21,0,0,
1/1/2000,00:03:00,47.32,0,0,
1/1/2000,00:04:00,34.16,0,0,
1/1/2000,00:05:00,45.12,0,0,
1/1/2000,00:06:00,33.22,0,0,
1/1/2000,00:07:00,23.83,0,0,
1/1/2000,00:08:00,39.94,0,0,
1/1/2000,00:09:00,31.74,0,0,
1/1/2000,00:10:00,49.84,0,0,
1/1/2000,00:11:00,24.41,0,0,
1/1/2000,00:12:00,44.43,0,0,
1/1/2000,00:13:00,68.01,0,0,
1/1/2000,00:14:00,16.13,0,0,
1/1/2000,00:15:00,37.01,0,0,
1/1/2000,00:16:00,39.43,0,0,
1/1/2000,00:17:00,47.97,0,0,
1/1/2000,00:18:00,89.16,0,0,
1/1/2000,00:19:00,24.91,0,0,
1/1/2000,00:20:00,62.16,0,0,
1/1/2000,00:21:00,13.12,0,0,
1/1/2000,00:22:00,34.47,0,0,
1/1/2000,00:23:00,19.53,0,0,
1/1/2000,00:24:00,39.51,0,0,
1/1/2000,00:25:00,35.31,0,0,
1/1/2000,00:26:00,22.78,0,0,
1/1/2000,00:27:00,45.22,0,0,
1/1/2000,00:28:00,20.19,0,0,
1/1/2000,00:29:00,261.40,0,0,
1/1/2000,00:30:00,29.78,0,0,
1/1/2000,00:31:00,10.95,0,0,
1/1/2000,00:32:00,76.04,0,0,
1/1/2000,00:33:00,37.43,0,0,
1/1/2000,00:34:00,68.60,0,0,
1/1/2000,00:35:00,55.78,0,0,
1/1/2000,00:36:00,42.51,0,0,
1/1/2000,00:37:00,30.24,0,0,
1/1/2000,00:38:00,36.85,0,0,
1/1/2000,00:39:00,29.08,0,0,
1/1/2000,00:40:00,40.40,0,0,
1/1/2000,00:41:00,41.49,0,0,
1/1/2000,00:42:00,39.91,0,0,
1/1/2000,00:43:00,83.86,0,0,
1/1/2000,00:44:00,27.66,0,0,
1/1/2000,00:45:00,57.80,0,0,
1/1/2000,00:46:00,25.23,0,0,
1/1/2000,00:47:00,21.60,0,0,
1/1/2000,00:48:00,55.36,0,0,
1/1/2000,00:49:00,25.38,0,0,
1/1/2000,00:50:00,53.19,0,0,
1/1/2000,00:51:00,13.42,0,0,
1/1/2000,00:52:00,17.40,0,0,
1/1/2000,00:53:00,34.16,0,0,
1/1/2000,00:54:00,34.56,0,0,
1/1/2000,00:55:00,58.83,0,0,
1/1/2000,00:56:00,39.07,0,0,
1/1/2000,00:57:00,34.57,0,0,
1/1/2000,00:58:00,51.85,0,0,
1/1/2000,00:59:00,52.13,0,0,
1/1/2000,01:00:00,42.48,0,0,
1/1/2000,01:01:00,38.71,0,0,
1/1/2000,01:02:00,21.27,0,0,
1/1/2000,01:03:00,41.40,0,0,
1/1/2000,01:04:00,61.40,0,0,
1/1/2000,01:05:00,24.65,0,0,
1/1/2000,01:06:00,51.77,0,0,
1/1/2000,01:07:00,32.93,0,0,
1/1/2000,01:08:00,48.17,0,0,
1/1/2000,01:09:00,52.77,0,0,
1/1/2000,01:10:00,39.78,0,0,
1/1/2000,01:11:00,17.87,0,0,
1/1/2000,01:12:00,28.32,0,0,
1/1/2000,01:13:00,36.56,0,0,
1/1/2000,01:14:00,10.30,0,0,
1/1/2000,01:15:00,23.95,0,0,
1/1/2000,01:16:00,21.64,0,0,
1/1/2000,01:17:00,36.61,0,0,
1/1/2000,01:18:00,44.20,0,0,
1/1/2000,01:19:00,27.04,0,0,
1/1/2000,01:20:00,115.46,0,0,
1/1/2000,01:21:00,65.37,0,0,
1/1/2000,01:22:00,46.07,0,0,
1/1/2000,01:23:00,14.94,0,0,
1/1/2000,01:24:00,49.59,0,0,
1/1/2000,01:25:00,26.03,0,0,
1/1/2000,01:26:00,10.18,0,0,
1/1/2000,01:27:00,35.86,0,0,
1/1/2000,01:28:00,67.97,0,0,
1/1/2000,01:29:00,72.00,0,0,
1/1/2000,01:30:00,18.82,0,0,
1/1/2000,01:31:00,24.26,0,0,
1/1/2000,01:32:00,15.08,0,0,
1/1/2000,01:33:00,18.38,0,0,
1/1/2000,01:34:00,54.34,0,0,
1/1/2000,01:35:00,50.77,0,0,
1/1/2000,01:36:00,59.10,0,0,
1/1/2000,01:37:00,26.65,0,0,
1/1/2000,01:38:00,27.31,0,0,
1/1/2000,01:39:00,30.98,0,0,
1/1/2000,01:40:00,34.40,0,0,
1/1/2000,01:41:00,24.10,0,0,
1/1/2000,01:42:00,28.37,0,0,
1/1/2000,01:43:00,37.48,0,0,
1/1/2000,01:44:00,35.44,0,0,
1/1/2000,01:45:00,38.85,0,0,
1/1/2000,01:46:00,62.06,0,0,
1/1/2000,01:47:00,28.18,0,0,
1/1/2000,01:48:00,23.21,0,0,
1/1/2000,01:49:00,29.72,0,0,
1/1/2000,01:50:00,19.62,0,0,
1/1/2000,01:51:00,22.66,0,0,
1/1/2000,01:52:00,58.39,0,0,
1/1/2000,01:53:00,34.99,0,0,
1/1/2000,01:54:00,36.69,0,0,
1/1/2000,01:55:00,22.73,0,0,
1/1/2000,01:56:00,25.56,0,0,
1/1/2000,01:57:00,16.65,0,0,
1/1/2000,01:58:00,22.95,0,0,
1/1/2000,01:59:00,50.88,0,0,
1/1/2000,02:00:00,27.67,0,0,
1/1/2000,02:01:00,69.28,0,0,
1/1/2000,02:02:00,19.47,0,0,
1/1/2000,02:03:00,112.22,0,0,
1/1/2000,02:04:00,42.08,0,0,
1/1/2000,02:05:00,30.96,0,0,
1/1/2000,02:06:00,29.95,0,0,
1/1/2000,02:07:00,32.73,0,0,
1/1/2000,02:08:00,35.15,0,0,
1/1/2000,02:09:00,30.52,0,0,
1/1/2000,02:10:00,279.54,0,0,
1/1/2000,02:11:00,156.67,0,0,
1/1/2000,02:12:00,20.58,0,0,
1/1/2000,02:13:00,35.05,0,0,
1/1/2000,02:14:00,17.58,0,0,
1/1/2000,02:15:00,70.85,0,0,
1/1/2000,02:16:00,33.63,0,0,
1/1/2000,02:17:00,24.85,0,0,
1/1/2000,02:18:00,33.28,0,0,
1/1/2000,02:19:00,36.25,0,0,
1/1/2000,02:20:00,27.41,0,0,
1/1/2000,02:21:00,19.94,0,0,
1/1/2000,02:22:00,48.90,0,0,
1/1/2000,02:23:00,31.73,0,0,
1/1/2000,02:24:00,34.00,0,0,
1/1/2000,02:25:00,39.71,0,0,
1/1/2000,02:26:00,29.81,0,0,
1/1/2000,02:27:00,25.98,0,0,
1/1/2000,02:28:00,27.15,0,0,
1/1/2000,02:29:00,47.93,0,0,
1/1/2000,02:30:00,29.69,0,0,
1/1/2000,02:31:00,54.64,0,0,
1/1/2000,02:32:00,20.62,0,0,
1/1/2000,02:33:00,36.58,0,0,
1/1/2000,02:34:00,42.52,0,0,
1/1/2000,02:35:00,17.35,0,0,
1/1/2000,02:36:00,198.93,0,0,
1/1/2000,02:37:00,29.55,0,0,
1/1/2000,02:38:00,11.93,0,0,
1/1/2000,02:39:00,34.23,0,0,
1/1/2000,02:40:00,10.86,0,0,
1/1/2000,02:41:00,46.76,0,0,
1/1/2000,02:42:00,60.13,0,0,
1/1/2000,02:43:00,21.04,0,0,
1/1/2000,02:44:00,40.73,0,0,
1/1/2000,02:45:00,59.69,0,0,
1/1/2000,02:46:00,29.84,0,0,
1/1/2000,02:47:00,23.30,0,0,
1/1/2000,02:48:00,42.96,0,0,
1/1/2000,02:49:00,62.07,0,0,
1/1/2000,02:50:00,23.50,0,0,
1/1/2000,02:51:00,11.70,0,0,
1/1/2000,02:52:00,48.89,0,0,
1/1/2000,02:53:00,23.12,0,0,
1/1/2000,02:54:00,66.03,0,0,
1/1/2000,02:55:00,86.48,0,0,
1/1/2000,02:56:00,40.68,0,0,
1/1/2000,02:57:00,191.18,0,0,
1/1/2000,02:58:00,20.01,0,0,
1/1/2000,02:59:00,23.68,0,0,
1/1/2000,03:00:00,240.50,0,0,
1/1/2000,03:01:00,32.82,0,0,
1/1/2000,03:02:00,31.17,0,0,
1/1/2000,03:03:00,42.24,0,0,
1/1/2000,03:04:00,29.23,0,0,
1/1/2000,03:05:00,52.28,0,0,
1/1/2000,03:06:00,49.42,0,0,
1/1/2000,03:07:00,40.76,0,0,
1/1/2000,03:08:00,41.58,0,0,
1/1/2000,03:09:00,46.75,0,0,
1/1/2000,03:10:00,16.77,0,0,
1/1/2000,03:11:00,19.47,0,0,
1/1/2000,03:12:00,25.72,0,0,
1/1/2000,03:13:00,32.40,0,0,
1/1/2000,03:14:00,41.15,0,0,
1/1/2000,03:15:00,16.65,0,0,
1/1/2000,03:16:00,18.12,0,0,
1/1/2000,03:17:00,18.19,0,0,
1/1/2000,03:18:00,29.91,0,0,
1/1/2000,03:19:00,31.68,0,0,
1/1/2000,03:20:00,37.56,0,0,
1/1/2000,03:21:00,41.60,0,0,
1/1/2000,03:22:00,72.57,0,0,
1/1/2000,03:23:00,30.44,0,0,
1/1/2000,03:24:00,45.53,0,0,
1/1/2000,03:25:00,32.99,0,0,
1/1/2000,03:26:00,46.53,0,0,
1/1/2000,03:27:00,61.54,0,0,
1/1/2000,03:28:00,18.68,0,0,
1/1/2000,03:29:00,39.27,0,0,
1/1/2000,03:30:00,34.95,0,0,
1/1/2000,03:31:00,37.35,0,0,
1/1/2000,03:32:00,42.89,0,0,
1/1/2000,03:33:00,74.12,0,0,
1/1/2000,03:34:00,29.00,0,0,
1/1/2000,03:35:00,38.58,0,0,
1/1/2000,03:36:00,35.23,0,0,
1/1/2000,03:37:00,46.13,0,0,
1/1/2000,03:38:00,38.16,0,0,
1/1/2000,03:39:00,33.33,0,0,
1/1/2000,03:40:00,46.03,0,0,
1/1/2000,03:41:00,38.56,0,0,
1/1/2000,03:42:00,38.22,0,0,
1/1/2000,03:43:00,43.43,0,0,
1/1/2000,03:44:00,41.24,0,0,
1/1/2000,03:45:00,20.99,0,0,
1/1/2000,03:46:00,16.78,0,0,
1/1/2000,03:47:00,40.48,0,0,
1/1/2000,03:48:00,40.83,0,0,
1/1/2000,03:49:00,57.98,0,0,
1/1/2000,03:50:00,94.05,0,0,
1/1/2000,03:51:00,18.82,0,0,
1/1/2000,03:52:00,24.22,0,0,
1/1/2000,03:53:00,77.51,0,0,
1/1/2000,03:54:00,17.15,0,0,
1/1/2000,03:55:00,48.77,0,0,
1/1/2000,03:56:00,63.42,0,0,
1/1/2000,03:57:00,32.25,0,0,
1/1/2000,03:58:00,43.28,0,0,
1/1/2000,03:59:00,30.72,0,0,
1/1/2000,04:00:00,27.60,0,0,
1/1/2000,04:01:00,67.77,0,0,
1/1/2000,04:02:00,272.63,0,0,
1/1/2000,04:03:00,24.86,0,0,
1/1/2000,04:04:00,51.06,0,0,
1/1/2000,04:05:00,39.96,0,0,
1/1/2000,04:06:00,37.33,0,0,
1/1/2000,04:07:00,73.19,0,0,
1/1/2000,04:08:00,29.68,0,0,
1/1/2000,04:09:00,20.76,0,0,
1/1/2000,04:10:00,24.50,0,0,
1/1/2000,04:11:00,37.81,0,0,
1/1/2000,04:12:00,31.71,0,0,
1/1/2000,04:13:00,197.96,0,0,
1/1/2000,04:14:00,51.76,0,0,
1/1/2000,04:15:00,29.21,0,0,
1/1/2000,04:16:00,29.04,0,0,
1/1/2000,04:17:00,23.83,0,0,
1/1/2000,04:18:00,29.72,0,0,
1/1/2000,04:19:00,44.19,0,0,
1/1/2000,04:20:00,46.40,0,0,
1/1/2000,04:21:00,40.84,0,0,
1/1/2000,04:22:00,30.27,0,0,
1/1/2000,04:23:00,34.77,0,0,
1/1/2000,04:24:00,19.48,0,0,
1/1/2000,04:25:00,46.55,0,0,
1/1/2000,04:26:00,24.67,0,0,
1/1/2000,04:27:00,50.41,0,0,
1/1/2000,04:28:00,13.45,0,0,
1/1/2000,04:29:00,44.32,0,0,
1/1/2000,04:30:00,9.54,0,0,
1/1/2000,04:31:00,26.01,0,0,
1/1/2000,04:32:00,33.30,0,0,
1/1/2000,04:33:00,36.01,0,0,
1/1/2000,04:34:00,50.52,0,0,
1/1/2000,04:35:00,40.63,0,0,
1/1/2000,04:36:00,63.27,0,0,
1/1/2000,04:37:00,57.35,0,0,
1/1/2000,04:38:00,41.01,0,0,
1/1/2000,04:39:00,48.37,0,0,
1/1/2000,04:40:00,46.93,0,0,
1/1/2000,04:41:00,35.77,0,0,
1/1/2000,04:42:00,28.07,0,0,
1/1/2000,04:43:00,37.48,0,0,
1/1/2000,04:44:00,65.70,0,0,
1/1/2000,04:45:00,23.53,0,0,
1/1/2000,04:46:00,64.53,0,0,
1/1/2000,04:47:00,26.75,0,0,
1/1/2000,04:48:00,34.35,0,0,
1/1/2000,04:49:00,39.05,0,0,
1/1/2000,04:50:00,197.04,0,0,
1/1/2000,04:51:00,32.88,0,0,
1/1/2000,04:52:00,27.91,0,0,
1/1/2000,04:53:00,39.84,0,0,
1/1/2000,04:54:00,30.55,0,0,
1/1/2000,04:55:00,62.55,0,0,
1/1/2000,04:56:00,58.73,0,0,
1/1/2000,04:57:00,39.99,0,0,
1/1/2000,04:58:00,30.96,0,0,
1/1/2000,04:59:00,68.25,0,0,
1/1/2000,05:00:00,36.81,0,0,
1/1/2000,05:01:00,50.51,0,0,
1/1/2000,05:02:00,29.78,0,0,
1/1/2000,05:03:00,44.31,0,0,
1/1/2000,05:04:00,35.66,0,0,
1/1/2000,05:05:00,66.27,0,0,
1/1/2000,05:06:00,76.03,0,0,
1/1/2000,05:07:00,66.73,0,0,
1/1/2000,05:08:00,68.22,0,0,
1/1/2000,05:09:00,64.65,0,0,
1/1/2000,05:10:00,45.46,0,0,
1/1/2000,05:11:00,41.12,0,0,
1/1/2000,05:12:00,27.47,0,0,
1/1/2000,05:13:00,46.53,0,0,
1/1/2000,05:14:00,39.54,0,0,
1/1/2000,05:15:00,16.81,0,0,
1/1/2000,05:16:00,40.39,0,0,
1/1/2000,05:17:00,44.84,0,0,
1/1/2000,05:18:00,67.77,0,0,
1/1/2000,05:19:00,13.36,0,0,
1/1/2000,05:20:00,22.84,0,0,
1/1/2000,05:21:00,39.31,0,0,
1/1/2000,05:22:00,15.78,0,0,
1/1/2000,05:23:00,26.98,0,0,
1/1/2000,05:24:00,39.36,0,0,
1/1/2000,05:25:00,183.05,0,0,
1/1/2000,05:26:00,27.53,0,0,
1/1/2000,05:27:00,30.22,0,0,
1/1/2000,05:28:00,49.61,0,0,
1/1/2000,05:29:00,77.78,0,0,
1/1/2000,05:30:00,99.77,0,0,
1/1/2000,05:31:00,48.86,0,0,
1/1/2000,05:32:00,24.34,0,0,
1/1/2000,05:33:00,63.41,0,0,
1/1/2000,05:34:00,31.78,0,0,
1/1/2000,05:35:00,20.54,0,0,
1/1/2000,05:36:00,30.64,0,0,
1/1/2000,05:37:00,17.01,0,0,
1/1/2000,05:38:00,43.65,0,0,
1/1/2000,05:39:00,36.16,0,0,
1/1/2000,05:40:00,65.56,0,0,
1/1/2000,05:41:00,22.24,0,0,
1/1/2000,05:42:00,53.35,0,0,
1/1/2000,05:43:00,17.20,0,0,
1/1/2000,05:44:00,34.32,0,0,
1/1/2000,05:45:00,80.14,0,0,
1/1/2000,05:46:00,33.21,0,0,
1/1/2000,05:47:00,14.90,0,0,
1/1/2000,05:48:00,43.87,0,0,
1/1/2000,05:49:00,27.32,0,0,
1/1/2000,05:50:00,42.52,0,0,
1/1/2000,05:51:00,28.64,0,0,
1/1/2000,05:52:00,20.39,0,0,
1/1/2000,05:53:00,18.95,0,0,
1/1/2000,05:54:00,56.16,0,0,
1/1/2000,05:55:00,50.14,0,0,
1/1/2000,05:56:00,81.77,0,0,
1/1/2000,05:57:00,42.59,0,0,
1/1/2000,05:58:00,31.58,0,0,
1/1/2000,05:59:00,33.23,0,0,
1/1/2000,06:00:00,212.36,0,0,
1/1/2000,06:01:00,40.45,0,0,
1/1/2000,06:02:00,42.94,0,0,
1/1/2000,06:03:00,54.92,0,0,
1/1/2000,06:04:00,46.02,0,0,
1/1/2000,06:05:00,63.16,0,0,
1/1/2000,06:06:00,15.63,0,0,
1/1/2000,06:07:00,40.08,0,0,
1/1/2000,06:08:00,96.05,0,0,
1/1/2000,06:09:00,25.42,0,0,
1/1/2000,06:10:00,33.37,0,0,
1/1/2000,06:11:00,43.59,0,0,
1/1/2000,06:12:00,38.68,0,0,
1/1/2000,06:13:00,37.62,0,0,
1/1/2000,06:14:00,55.27,0,0,
1/1/2000,06:15:00,55.48,0,0,
1/1/2000,06:16:00,44.07,0,0,
1/1/2000,06:17:00,31.06,0,0,
1/1/2000,06:18:00,28.18,0,0,
1/1/2000,06:19:00,40.67,0,0,
1/1/2000,06:20:00,27.46,0,0,
