Device,AX3
DeviceId,DEMO_AX3_001
Start Time,2000-01-01 00:00:00
Stop Time,2000-01-10 23:59:00
Logging,60

timestamp,x,y,z,temperature
2000-01-01 00:00:00,6,25,2,25.0
2000-01-01 00:01:00,23,64,0,25.0
2000-01-01 00:02:00,7,23,12,25.0
2000-01-01 00:03:00,17,40,19,25.0
2000-01-01 00:04:00,15,30,7,25.0
2000-01-01 00:05:00,7,44,9,25.0
2000-01-01 00:06:00,11,31,4,25.0
2000-01-01 00:07:00,4,23,6,25.0
2000-01-01 00:08:00,10,38,9,25.0
2000-01-01 00:09:00,6,27,16,25.0
2000-01-01 00:10:00,13,47,9,25.0
2000-01-01 00:11:00,4,23,6,25.0
2000-01-01 00:12:00,7,37,24,25.0
2000-01-01 00:13:00,18,65,6,25.0
2000-01-01 00:14:00,3,15,5,25.0
2000-01-01 00:15:00,13,35,0,25.0
2000-01-01 00:16:00,17,35,5,25.0
2000-01-01 00:17:00,8,45,14,25.0
2000-01-01 00:18:00,16,83,27,25.0
2000-01-01 00:19:00,8,23,0,25.0
2000-01-01 00:20:00,21,57,13,25.0
2000-01-01 00:21:00,2,11,6,25.0
2000-01-01 00:22:00,6,28,20,25.0
2000-01-01 00:23:00,6,17,7,25.0
2000-01-01 00:24:00,8,37,10,25.0
2000-01-01 00:25:00,8,34,6,25.0
2000-01-01 00:26:00,7,22,2,25.0
2000-01-01 00:27:00,8,42,14,25.0
2000-01-01 00:28:00,8,17,7,25.0
2000-01-01 00:29:00,73,230,100,25.0
2000-01-01 00:30:00,5,25,16,25.0
2000-01-01 00:31:00,4,10,3,25.0
2000-01-01 00:32:00,15,71,24,25.0
2000-01-01 00:33:00,12,31,17,25.0
2000-01-01 00:34:00,26,63,7,25.0
2000-01-01 00:35:00,17,52,9,25.0
2000-01-01 00:36:00,15,38,12,25.0
2000-01-01 00:37:00,8,29,5,25.0
2000-01-01 00:38:00,7,34,12,25.0
2000-01-01 00:39:00,8,26,10,25.0
2000-01-01 00:40:00,11,39,3,25.0
2000-01-01 00:41:00,18,35,13,25.0
2000-01-01 00:42:00,10,35,17,25.0
2000-01-01 00:43:00,36,74,18,25.0
2000-01-01 00:44:00,8,24,11,25.0
2000-01-01 00:45:00,17,55,0,25.0
2000-01-01 00:46:00,7,21,13,25.0
2000-01-01 00:47:00,5,21,4,25.0
2000-01-01 00:48:00,20,52,0,25.0
2000-01-01 00:49:00,7,22,10,25.0
2000-01-01 00:50:00,11,51,9,25.0
2000-01-01 00:51:00,4,11,6,25.0
2000-01-01 00:52:00,6,15,5,25.0
2000-01-01 00:53:00,8,33,4,25.0
2000-01-01 00:54:00,5,31,15,25.0
2000-01-01 00:55:00,8,58,7,25.0
2000-01-01 00:56:00,17,35,4,25.0
2000-01-01 00:57:00,13,32,0,25.0
2000-01-01 00:58:00,18,49,0,25.0
2000-01-01 00:59:00,13,50,2,25.0
2000-01-01 01:00:00,8,40,12,25.0
2000-01-01 01:01:00,13,34,14,25.0
2000-01-01 01:02:00,8,19,6,25.0
2000-01-01 01:03:00,11,39,5,25.0
2000-01-01 01:04:00,19,58,6,25.0
2000-01-01 01:05:00,4,21,13,25.0
2000-01-01 01:06:00,18,48,6,25.0
2000-01-01 01:07:00,12,31,1,25.0
2000-01-01 01:08:00,13,46,6,25.0
2000-01-01 01:09:00,16,45,22,25.0
2000-01-01 01:10:00,10,38,4,25.0
2000-01-01 01:11:00,8,15,5,25.0
2000-01-01 01:12:00,11,25,7,25.0
2000-01-01 01:13:00,7,35,7,25.0
2000-01-01 01:14:00,3,9,4,25.0
2000-01-01 01:15:00,7,22,7,25.0
2000-01-01 01:16:00,10,18,8,25.0
2000-01-01 01:17:00,10,33,13,25.0
2000-01-01 01:18:00,11,43,2,25.0
2000-01-01 01:19:00,9,25,1,25.0
2000-01-01 01:20:00,29,112,0,25.0
2000-01-01 01:21:00,19,55,30,25.0
2000-01-01 01:22:00,13,42,15,25.0
2000-01-01 01:23:00,3,15,1,25.0
2000-01-01 01:24:00,23,41,15,25.0
2000-01-01 01:25:00,4,21,15,25.0
2000-01-01 01:26:00,3,9,4,25.0
2000-01-01 01:27:00,14,33,1,25.0
2000-01-01 01:28:00,22,61,20,25.0
2000-01-01 01:29:00,30,64,10,25.0
2000-01-01 01:30:00,7,17,5,25.0
2000-01-01 01:31:00,7,23,2,25.0
2000-01-01 01:32:00,6,13,6,25.0
2000-01-01 01:33:00,5,17,5,25.0
2000-01-01 01:34:00,17,47,21,25.0
2000-01-01 01:35:00,13,49,5,25.0
2000-01-01 01:36:00,26,52,13,25.0
2000-01-01 01:37:00,9,25,4,25.0
2000-01-01 01:38:00,7,25,7,25.0
2000-01-01 01:39:00,8,30,1,25.0
2000-01-01 01:40:00,11,32,8,25.0
2000-01-01 01:41:00,4,22,9,25.0
2000-01-01 01:42:00,7,27,5,25.0
2000-01-01 01:43:00,9,35,9,25.0
2000-01-01 01:44:00,8,34,6,25.0
2000-01-01 01:45:00,13,35,12,25.0
2000-01-01 01:46:00,13,60,7,25.0
2000-01-01 01:47:00,5,23,15,25.0
2000-01-01 01:48:00,8,22,2,25.0
2000-01-01 01:49:00,6,29,2,25.0
2000-01-01 01:50:00,3,19,4,25.0
2000-01-01 01:51:00,7,21,5,25.0
2000-01-01 01:52:00,12,57,5,25.0
2000-01-01 01:53:00,16,29,11,25.0
2000-01-01 01:54:00,12,32,12,25.0
2000-01-01 01:55:00,3,21,8,25.0
2000-01-01 01:56:00,6,21,13,25.0
2000-01-01 01:57:00,3,16,3,25.0
2000-01-01 01:58:00,4,20,10,25.0
2000-01-01 01:59:00,14,47,13,25.0
2000-01-01 02:00:00,7,26,6,25.0
2000-01-01 02:01:00,10,65,21,25.0
2000-01-01 02:02:00,3,18,6,25.0
2000-01-01 02:03:00,20,109,20,25.0
2000-01-01 02:04:00,10,41,1,25.0
2000-01-01 02:05:00,6,26,16,25.0
2000-01-01 02:06:00,11,27,6,25.0
2000-01-01 02:07:00,11,31,0,25.0
2000-01-01 02:08:00,10,33,6,25.0
2000-01-01 02:09:00,8,26,14,25.0
2000-01-01 02:10:00,98,261,19,25.0
2000-01-01 02:11:00,25,153,25,25.0
2000-01-01 02:12:00,6,19,5,25.0
2000-01-01 02:13:00,12,33,3,25.0
2000-01-01 02:14:00,7,14,7,25.0
2000-01-01 02:15:00,17,69,5,25.0
2000-01-01 02:16:00,14,30,5,25.0
2000-01-01 02:17:00,6,23,8,25.0
2000-01-01 02:18:00,10,32,0,25.0
2000-01-01 02:19:00,17,31,10,25.0
2000-01-01 02:20:00,12,23,8,25.0
2000-01-01 02:21:00,5,17,10,25.0
2000-01-01 02:22:00,18,45,2,25.0
2000-01-01 02:23:00,12,28,9,25.0
2000-01-01 02:24:00,10,32,0,25.0
2000-01-01 02:25:00,6,35,18,25.0
2000-01-01 02:26:00,6,27,10,25.0
2000-01-01 02:27:00,9,23,9,25.0
2000-01-01 02:28:00,6,26,7,25.0
2000-01-01 02:29:00,12,46,2,25.0
2000-01-01 02:30:00,11,28,0,25.0
