datetime,activity_count,axis_x,axis_y,axis_z,vector_magnitude
2000-01-01 00:00:00,32,6,25,2,25.39
2000-01-01 00:01:00,84,23,64,0,67.86
2000-01-01 00:02:00,43,7,23,12,27.21
2000-01-01 00:03:00,76,17,40,19,47.32
2000-01-01 00:04:00,52,15,30,7,34.16
2000-01-01 00:05:00,60,7,44,9,45.12
2000-01-01 00:06:00,46,11,31,4,33.22
2000-01-01 00:07:00,33,4,23,6,23.83
2000-01-01 00:08:00,56,10,38,9,39.94
2000-01-01 00:09:00,49,6,27,16,31.74
2000-01-01 00:10:00,69,13,47,9,49.84
2000-01-01 00:11:00,33,4,23,6,24.41
2000-01-01 00:12:00,67,7,37,24,44.43
2000-01-01 00:13:00,90,18,65,6,68.01
2000-01-01 00:14:00,23,3,15,5,16.13
2000-01-01 00:15:00,45,13,35,0,37.01
2000-01-01 00:16:00,58,17,35,5,39.43
2000-01-01 00:17:00,67,8,45,14,47.97
2000-01-01 00:18:00,126,16,83,27,89.16
2000-01-01 00:19:00,30,8,23,0,24.91
2000-01-01 00:20:00,92,21,57,13,62.16
2000-01-01 00:21:00,20,2,11,6,13.12
2000-01-01 00:22:00,53,6,28,20,34.47
2000-01-01 00:23:00,30,6,17,7,19.53
2000-01-01 00:24:00,56,8,37,10,39.51
2000-01-01 00:25:00,48,8,34,6,35.31
2000-01-01 00:26:00,31,7,22,2,22.78
2000-01-01 00:27:00,64,8,42,14,45.22
2000-01-01 00:28:00,32,8,17,7,20.19
2000-01-01 00:29:00,403,73,230,100,261.40
2000-01-01 00:30:00,45,5,25,16,29.78
2000-01-01 00:31:00,17,4,10,3,10.95
2000-01-01 00:32:00,109,15,71,24,76.04
2000-01-01 00:33:00,60,12,31,17,37.43
2000-01-01 00:34:00,97,26,63,7,68.60
2000-01-01 00:35:00,78,17,52,9,55.78
2000-01-01 00:36:00,65,15,38,12,42.51
2000-01-01 00:37:00,42,8,29,5,30.24
2000-01-01 00:38:00,53,7,34,12,36.85
2000-01-01 00:39:00,44,8,26,10,29.08
2000-01-01 00:40:00,52,11,39,3,40.40
2000-01-01 00:41:00,66,18,35,13,41.49
2000-01-01 00:42:00,62,10,35,17,39.91
2000-01-01 00:43:00,128,36,74,18,83.86
2000-01-01 00:44:00,43,8,24,11,27.66
2000-01-01 00:45:00,71,17,55,0,57.80
2000-01-01 00:46:00,40,7,21,13,25.23
2000-01-01 00:47:00,30,5,21,4,21.60
